Title,Author,Series,Series Number,Rating
Along Came a Spider,James Patterson,Alex Cross,1,3.8
Atlantis Found,Clive Cussler,Dirk Pitt,15,3.5
Bravo Two Zero,Andy McNab,,,4.1
Crocodile on the Sandbank,Elizabeth Peters,Amelia Peabody,1,4
Foundation,Isaac Asimov,Foundation,1,4.2
Ghost in the Wires,Kevin Mitnick,,,4.1
Graveyard of Empires,Scott Mariani,Ben Hope,26,3.5
House of War,Scott Mariani,Ben Hope,20,3.5
Odessa Sea,Clive Cussler,Dirk Pitt,24,3.9
Passenger 13,Scott Mariani,Ben Hope,,3.5
Pirate,Clive Cussler,Fargo Adventures,8,3.7
Strange Conflict,Dennis Wheatley,Duke de Richleau,2,3.5
The Alchemist&#8217;s Secret,Scott Mariani,Ben Hope,1,3.5
The Alexandria Link,Steve Berry,Cotton Malone,2,3.9
The Armada Legacy,Scott Mariani,Ben Hope,8,3.5
The Atlantis Code,Charles Brokaw,Thomas Lourds,1,3.7
The Babylon Idol,Scott Mariani,Ben Hope,15,3.5
The Bach Manuscript,Scott Mariani,Ben Hope,16,3.5
The Cassandra Sanction,Scott Mariani,Ben Hope,12,3.5
The Charlemagne Pursuit,Steve Berry,Cotton Malone,4,4
The Covenant of Genesis,Andy McDermott,Wilde and Chase,4,4.1
The Crusader&#8217;s Cross,Scott Mariani,Ben Hope,24,3.5
The Demon Club,Scott Mariani,Ben Hope,22,3.5
The Devil Rides Out,Dennis Wheatley,Duke de Richleau,1,3.5
The Devil&#8217;s Kingdom,Scott Mariani,Ben Hope,14,3.5
The Doomsday Prophecy,Scott Mariani,Ben Hope,3,3.5
The Forgotten Holocaust,Scott Mariani,Ben Hope,10,3.5
The Golden Library,Scott Mariani,Ben Hope,29,3.5
The Golden Trinity,Robyn Nyx,Chase Stinsen,1,3.5
The Haunting of Toby Jugg,Dennis Wheatley,Black Magic,3,3.5
The Heretic&#8217;s Treasure,Scott Mariani,Ben Hope,4,3.5
The Hunt for Atlantis,Andy McDermott,Wilde and Chase,1,4
The Ka of Gifford Hillary,Dennis Wheatley,Black Magic,5,3.5
The Lost Relic,Scott Mariani,Ben Hope,6,3.5
The Lucifer Code,Charles Brokaw,Thomas Lourds,2,3.6
The Martyr&#8217;s Curse,Scott Mariani,Ben Hope,11,3.5
The Moscow Cipher,Scott Mariani,Ben Hope,17,3.5
The Mozart Conspiracy,Scott Mariani,Ben Hope,2,3.5
The Nemesis Program,Scott Mariani,Ben Hope,9,3.5
The Oracle Code,Charles Brokaw,Thomas Lourds,4,3.7
The Pandemic Plot,Scott Mariani,Ben Hope,23,3.5
The Pharaoh&#8217;s Secret,Clive Cussler,NUMA Files,13,3.5
The Pretender&#8217;s Gold,Scott Mariani,Ben Hope,21,3.5
The Rebel&#8217;s Revenge,Scott Mariani,Ben Hope,18,3.5
The Sacred Sword,Scott Mariani,Ben Hope,7,3.5
The Satanist,Dennis Wheatley,Molly Fountain,2,3.5
The Secret of Excalibur,Andy McDermott,Wilde and Chase,3,4
The Shadow Project,Scott Mariani,Ben Hope,5,3.5
The Silver Serpent,Scott Mariani,Ben Hope,25,3.5
The Solomon Curse,Clive Cussler,Fargo Adventures,7,3.8
The Star of Africa,Scott Mariani,Ben Hope,13,3.5
The Templar Legacy,Steve Berry,Cotton Malone,1,4.1
The Templar Secret,Scott Mariani,Ben Hope,30,3.5
The Temple Mount Code,Charles Brokaw,Thomas Lourds,3,3.8
The Tomb of Hercules,Andy McDermott,Wilde and Chase,2,3.9
The Tudor Deception,Scott Mariani,Ben Hope,28,3.5
The Venetian Betrayal,Steve Berry,Cotton Malone,3,4
The White Knight,Scott Mariani,Ben Hope,27,3.5
To The Devil a Daughter,Dennis Wheatley,Molly Fountain,,3.5
Valley of Death,Scott Mariani,Ben Hope,19,3.5
